交易日,类型,板块,资金方向,交易状态,成交净买额,资金净流入,当日资金余额,上涨数,持平数,下跌数,相关指数,指数涨跌幅
2026-07-24,沪港通,沪股通,北向,3,0.0,0.0,0.0,166,9,1465,上证指数,-1.61
2026-07-24,沪港通,港股通(沪),南向,3,-5.514214,420.0,0.0,70,21,525,恒生指数,-0.98
2026-07-24,深港通,深股通,北向,3,0.0,0.0,0.0,167,4,1704,深证成指,-2.47
2026-07-24,深港通,港股通(深),南向,3,-9.667736999999999,420.0,0.0,70,21,525,恒生指数,-0.98
