日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-03-25,25.36,4.32,-40615643.0,-6.83,-8169380.0,-1.37,-32446263.0,-5.46,-35503761.0,-5.97,76119405.0,12.8
2026-03-26,25.29,-0.28,-27210957.0,-7.51,205189.0,0.06,-27416146.0,-7.57,-8722913.0,-2.41,35933869.0,9.92
2026-03-27,26.13,3.32,46246464.0,7.85,25421043.0,4.32,20825421.0,3.54,-31024880.0,-5.27,-15221584.0,-2.58
2026-03-30,26.66,2.03,62548.0,0.01,51154437.0,5.96,-51091889.0,-5.95,-41084378.0,-4.78,41021824.0,4.78
2026-03-31,26.63,-0.11,-13641535.0,-1.72,-34559003.0,-4.36,20917468.0,2.64,-19961294.0,-2.52,33602830.0,4.24
2026-04-01,27.07,1.65,11203420.0,1.44,17205918.0,2.22,-6002498.0,-0.77,-65816104.0,-8.48,54612685.0,7.03
2026-04-02,27.06,-0.04,-64631925.0,-7.43,-18094982.0,-2.08,-46536943.0,-5.35,-2041856.0,-0.23,66673781.0,7.66
2026-04-03,26.7,-1.33,-55616374.0,-10.62,-25978908.0,-4.96,-29637466.0,-5.66,2771806.0,0.53,52844569.0,10.09
2026-04-07,26.68,-0.07,-31633311.0,-7.06,-9882938.0,-2.2,-21750373.0,-4.85,-8249089.0,-1.84,39882400.0,8.9
2026-04-08,26.8,0.45,23418079.0,4.1,-8266486.0,-1.45,31684565.0,5.54,13921190.0,2.44,-37339268.0,-6.53
2026-04-09,26.56,-0.9,-5469442.0,-1.13,-16028341.0,-3.3,10558899.0,2.17,8005010.0,1.65,-2535568.0,-0.52
2026-04-10,26.48,-0.3,-4089063.0,-1.0,-6455818.0,-1.58,2366755.0,0.58,-1879537.0,-0.46,5968600.0,1.46
2026-04-13,26.35,-0.49,4532230.0,1.38,-9601479.0,-2.92,14133709.0,4.3,-3489708.0,-1.06,-1042524.0,-0.32
2026-04-14,26.46,0.42,-12235672.0,-2.79,-864976.0,-0.2,-11370696.0,-2.6,10712652.0,2.45,1523020.0,0.35
