序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
284,605133,嵘泰股份,23.49,-10.0,0,1,0.0,29461711.0,-29461711.0,1038321366,-2.837436651573,4.4838,66.27,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
285,301042,安联锐视,33.3,-20.0096,1,2,39465399.84,69729457.31,-30264057.47,986357976,-3.068263065376,10.4243,30.72,连续三个交易日内，跌幅偏离值累计达到30%的证券,2026-07-20
286,688146,中船特气,284.94,15.9849,1,1,98750057.01,129387270.26,-30637213.25,6544430200,-0.468141798655,16.6454,413.08,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-27
287,300164,通源石油,12.2,16.4122,0,1,19769301.0,52772909.46,-33003608.46,4803649493,-0.687052802418,39.3974,71.15,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-20
288,601678,滨化股份,6.54,5.1447,0,1,0.0,35037900.0,-35037900.0,3463517734,-1.011627561656,25.2271,133.63,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-24
289,603045,福达合金,50.63,-9.9911,0,1,0.0,35831588.0,-35831588.0,1373199254,-2.609350966047,5.9832,68.58,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
290,603823,百合花,73.74,-9.9963,0,1,0.0,37614325.94,-37614325.94,1438397376,-2.615016306871,4.4606,307.03,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-07-23
291,300814,中富电路,137.3,19.9965,3,3,130766356.7,168840034.72,-38073678.02,1399440150,-2.72063639306,6.0234,262.83,日涨幅达到15%的前5只证券,2026-07-21
292,002484,江海股份,69.95,10.0016,2,3,297809962.45,336030146.0,-38220183.55,2725087235,-1.402530644125,4.9516,573.92,日涨幅偏离值达到7%的前5只证券,2026-07-27
293,002240,盛新锂能,30.42,10.0181,3,4,123656850.67,162769850.32,-39112999.65,1740611299,-2.247084094678,6.4675,277.71,日涨幅偏离值达到7%的前5只证券,2026-07-23
294,688308,欧科亿,85.6,-20.0,1,2,16606499.87,57039927.02,-40433427.15,1747450000,-2.313853166042,11.3985,135.92,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2026-07-20
295,301217,铜冠铜箔,103.24,-20.0,3,4,127019449.58,168166506.7,-41147057.12,2666149246,-1.543314095478,3.0213,855.88,日跌幅达到15%的前5只证券,2026-07-20
296,002515,金字火腿,7.06,-8.1925,3,3,95748463.35,137013888.44,-41265425.09,964321541,-4.279218428244,11.6558,77.79,日振幅值达到15%的前5只证券,2026-07-20
297,002379,宏桥控股,20.45,10.0054,1,3,75084933.72,117533876.9,-42448943.18,1472313931,-2.883144843381,6.5419,232.39,日涨幅偏离值达到7%的前5只证券,2026-07-23
298,301127,武汉天源,15.24,-20.0,2,4,107557086.54,151718339.55,-44161253.01,843400622,-5.236094432238,8.2872,99.73,日跌幅达到15%的前5只证券,2026-07-27
299,301583,托伦斯,175.0,0.5747,4,4,280797164.43,330843626.82,-50046462.39,2392430284,-2.091867116242,46.3377,53.95,日换手率达到30%的前5只证券,2026-07-27
300,603538,美诺华,29.23,4.5422,0,1,0.0,55986398.46,-55986398.46,2419724878,-2.313750582516,24.6331,98.48,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-22
301,300534,陇神戎发,13.26,-3.913,4,5,106354593.5,163031981.0,-56677387.5,1293582770,-4.381427212423,32.4033,40.05,日换手率达到30%的前5只证券,2026-07-22
302,002695,煌上煌,7.75,-8.1754,3,2,42853360.0,101300191.4,-58446831.4,535300228,-10.918514198727,6.1004,39.64,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
303,300164,通源石油,12.12,8.8949,1,1,33014228.0,92517716.0,-59503488.0,2638847511,-2.254904375943,38.0395,70.69,日换手率达到30%的前5只证券,2026-07-22
304,301357,北方长龙,92.58,7.2397,2,4,59054520.16,119116585.3,-60062065.14,1488069170,-4.036241483318,10.3267,88.14,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-24
305,001896,豫能控股,14.39,-10.0063,2,3,36746261.36,99209397.39,-62463136.03,2063902693,-3.02645741206,9.0867,219.56,日跌幅偏离值达到7%的前5只证券,2026-07-24
306,003031,中瓷电子,110.0,10.0,3,4,130857771.0,195652655.72,-64794884.72,1489147810,-4.351138569649,4.3613,374.17,日振幅值达到15%的前5只证券,2026-07-21
307,000811,冰轮环境,40.2,-7.0735,4,3,323422767.13,391576935.98,-68154168.85,2243732058,-3.037535993079,5.4829,393.32,日振幅值达到15%的前5只证券,2026-07-20
308,000975,山金国际,22.52,10.0147,1,4,134499944.63,205682137.06,-71182192.43,2073040806,-3.433709178516,3.7072,568.23,日涨幅偏离值达到7%的前5只证券,2026-07-22
309,002407,多氟多,33.57,9.9934,3,4,313343791.55,384934194.29,-71590402.74,6656065210,-1.07556642673,19.5396,362.14,日涨幅偏离值达到7%的前5只证券,2026-07-27
310,688359,三孚新科,124.0,17.1801,1,1,31716993.78,103795089.69,-72078095.91,1332538400,-5.409082087991,12.799,123.6,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-21
311,300534,陇神戎发,13.8,14.6179,5,4,147670120.2,221555370.02,-73885249.82,1504432006,-4.911172424233,39.5352,41.68,日换手率达到30%的前5只证券,2026-07-21
312,300005,探路者,11.9,-19.9731,3,4,177161498.51,252701622.2,-75540123.69,1478846563,-5.108043361629,13.1871,104.31,日跌幅达到15%的前5只证券,2026-07-20
313,300005,探路者,11.9,-19.9731,3,4,177161498.51,252701622.2,-75540123.69,1478846563,-5.108043361629,13.1871,104.31,日振幅值达到30%的前5只证券,2026-07-20
314,300201,海伦哲,10.58,-16.2312,4,4,128290725.68,212129639.22,-83838913.54,1090534859,-7.687871033933,9.5809,106.19,日振幅值达到30%的前5只证券,2026-07-20
315,603738,泰晶科技,30.62,-9.9941,0,1,0.0,88254032.0,-88254032.0,3675701585,-2.401011887367,9.3839,118.16,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
316,001309,德明利,508.0,5.1999,1,1,217536701.7,306102790.1,-88566088.4,18834643454,-0.470229705257,24.6157,838.55,日换手率达到20%的前5只证券,2026-07-21
317,002463,沪电股份,115.02,-10.0,3,3,706727944.69,796644610.18,-89916665.49,10440701014,-0.861212914434,4.5468,2211.62,日跌幅偏离值达到7%的前5只证券,2026-07-20
318,001309,德明利,457.2,-10.0,1,2,259675576.79,355671210.54,-95995633.75,12105000841,-0.79302459381,15.5378,754.69,日跌幅偏离值达到7%的前5只证券,2026-07-22
319,000636,风华高科,44.24,9.995,1,3,184325662.4,284601104.63,-100275442.23,5540606803,-1.809827800372,11.0883,511.86,日涨幅偏离值达到7%的前5只证券,2026-07-27
320,002141,贤丰控股,5.54,7.1567,3,4,158752575.0,263160578.63,-104408003.63,1674753794,-6.234230010647,29.6113,57.22,日换手率达到20%的前5只证券,2026-07-23
321,000779,甘咨询,10.61,6.2062,3,4,110485622.22,217597330.8,-107111708.58,1064930153,-10.058097075969,21.873,49.31,日换手率达到20%的前5只证券,2026-07-27
322,301511,德福科技,76.98,-19.9958,3,4,626590473.2,748836742.99,-122246269.79,4066952185,-3.005844775871,12.9492,288.39,日跌幅达到15%的前5只证券,2026-07-20
323,002141,贤丰控股,4.9,-9.9265,2,3,73458223.0,197633766.5,-124175543.5,1484854978,-8.362806155471,27.2961,50.61,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
324,002141,贤丰控股,4.9,-9.9265,2,3,64449039.0,197633766.5,-133184727.5,1401477186,-9.503167716924,27.2961,50.61,日换手率达到20%的前5只证券,2026-07-21
325,002141,贤丰控股,4.9,-9.9265,2,3,64449039.0,197633766.5,-133184727.5,1401477186,-9.503167716924,27.2961,50.61,日跌幅偏离值达到7%的前5只证券,2026-07-21
326,002409,雅克科技,143.55,10.0,3,4,552664306.4,685954932.24,-133290625.84,5945087623,-2.242029626684,14.3473,457.24,日振幅值达到15%的前5只证券,2026-07-21
327,002396,星网锐捷,31.61,9.9861,2,3,267713062.65,407649624.28,-139936561.63,6550440679,-2.136292327303,28.7047,239.42,日换手率达到20%的前5只证券,2026-07-21
328,301583,托伦斯,174.0,20.0,3,5,236570047.34,378709655.82,-142139608.48,2195569708,-6.473928291235,43.8288,53.65,日涨幅达到15%的前5只证券,2026-07-24
329,301583,托伦斯,174.0,20.0,3,5,236570047.34,378709655.82,-142139608.48,2195569708,-6.473928291235,43.8288,53.65,日换手率达到30%的前5只证券,2026-07-24
330,002432,九安医疗,73.48,-9.9951,1,3,107895679.5,310197109.92,-202301430.42,3788001416,-5.340584867933,10.8716,341.88,日跌幅偏离值达到7%的前5只证券,2026-07-23
331,002409,雅克科技,169.35,10.0032,1,3,314454566.71,518500055.85,-204045489.14,8579165121,-2.378383983315,16.4515,539.42,日涨幅偏离值达到7%的前5只证券,2026-07-27
332,002558,巨人网络,25.26,-9.8501,0,3,0.0,204992693.21,-204992693.21,4049815212,-5.061778932594,8.2295,480.08,日跌幅偏离值达到7%的前5只证券,2026-07-23
333,300005,探路者,11.04,-7.2269,3,3,424127131.06,636474867.14,-212347736.08,5020326919,-4.229759127366,22.4611,96.77,连续三个交易日内，跌幅偏离值累计达到30%的证券,2026-07-21
334,002156,通富微电,69.82,-6.7824,3,2,736146064.33,954031506.2,-217885441.87,14982780765,-1.454239004678,13.5563,1059.49,日跌幅偏离值达到7%的前5只证券,2026-07-23
335,688502,茂莱光学,363.92,-20.0,0,3,0.0,218404974.1,-218404974.1,1266878500,-17.239614856515,5.9278,192.15,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2026-07-20
336,688257,新锐股份,58.44,-14.1598,1,3,34225148.19,266764013.03,-232538864.84,1854601700,-12.538480086587,8.3256,207.62,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-20
337,300285,国瓷材料,59.9,19.992,3,4,343762122.23,578594692.13,-234832569.9,6099771968,-3.84985817719,13.154,511.35,日涨幅达到15%的前5只证券,2026-07-21
338,603115,海星股份,65.66,-9.9931,0,3,0.0,274832972.0,-274832972.0,1835977395,-14.969300425401,3.8125,158.83,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
339,688347,华虹宏力,397.78,20.0012,0,2,0.0,324170820.85,-324170820.85,12877385800,-2.517365138272,8.6834,1621.95,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-21
340,688635,长进光子,276.2,8.4967,2,2,8122797200.0,8482485500.0,-359688300.0,38807359800,-0.926855889846,17.0856,49.04,有价格涨跌幅限制的连续30个交易日内收盘价格跌幅偏离值累计达到-70%的证券,2026-07-21
341,603256,宏和科技,144.25,-10.0012,1,2,449392000.0,843056991.44,-393664991.44,7579532344,-5.193789980349,1.7577,1269.01,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
342,605376,博迁新材,134.48,-9.9987,0,2,0.0,411203258.04,-411203258.04,6199411842,-6.632939842037,4.1862,351.8,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
343,688361,中科飞测,366.46,20.0013,1,2,193876922.53,617266647.16,-423389724.63,5569561900,-7.601849700782,4.7238,1290.13,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-21
344,002353,杰瑞股份,151.02,10.0007,4,4,1108800194.49,1613945432.13,-505145237.64,10847710269,-4.656699202997,4.4403,1043.61,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-27
345,002384,东山精密,217.73,-9.9992,2,3,884319006.81,1397791523.02,-513472516.21,24583739099,-2.088667285893,7.8498,3018.44,日跌幅偏离值达到7%的前5只证券,2026-07-20
346,600176,中国巨石,38.7,-10.0,0,1,0.0,558338593.3,-558338593.3,11339760425,-4.923724773489,6.9711,1537.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-07-22
347,002353,杰瑞股份,151.02,10.0007,2,4,330185060.17,952327135.62,-622142075.45,4389262047,-14.174183924043,4.4403,1043.61,日涨幅偏离值达到7%的前5只证券,2026-07-27
348,600176,中国巨石,39.44,-9.9543,0,2,0.0,1541617424.07,-1541617424.07,26162167268,-5.892544789115,5.3242,1566.39,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
