序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
47,000815,美利云,17.74,9.9814,2,0,73089901.83,7707118.0,65382783.83,2101806934,3.110789234365,17.6215,123.34,日涨幅偏离值达到7%的前5只证券,2026-07-23
48,301310,鑫宏业,50.61,-16.609,3,1,120609014.68,56049837.8,64559176.88,750275621,8.604728058997,22.5719,30.86,日跌幅达到15%的前5只证券,2026-07-24
49,603757,大元泵业,62.82,-3.5764,1,0,60830083.0,0.0,60830083.0,4091632577,1.486694659289,9.4854,117.19,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-22
50,002173,创新医疗,20.69,9.9947,3,0,143510151.3,84464477.08,59045674.22,3758958753,1.570798673246,10.0446,87.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-27
51,001258,立新能源,11.01,9.99,1,0,73624200.4,17653329.0,55970871.4,2976489647,1.880432255372,6.5605,102.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
52,605288,凯迪股份,67.52,10.0033,2,0,54090740.7,0.0,54090740.7,311613465,17.358280939497,1.8617,66.36,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-07-23
53,001258,立新能源,12.11,9.9909,2,0,54750383.5,1549474.0,53200909.5,1270567170,4.187178037978,11.3037,113.03,日涨幅偏离值达到7%的前5只证券,2026-07-23
54,300164,通源石油,10.49,-12.1441,3,1,92471452.0,43187247.0,49284205.0,2082843800,2.366197839704,34.5569,61.18,日换手率达到30%的前5只证券,2026-07-27
55,688663,新风光,56.3,15.677,1,0,49188649.28,0.0,49188649.28,526693500,9.339141128569,4.9819,111.05,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-27
56,300795,米奥会展,13.28,19.9639,3,4,81242177.04,32762207.85,48479969.19,458205072,10.580408675616,22.1914,23.11,日涨幅达到15%的前5只证券,2026-07-27
57,000815,美利云,16.13,10.0273,2,0,53372245.68,5006768.0,48365477.68,1447901074,3.340385510343,12.9725,112.15,日涨幅偏离值达到7%的前5只证券,2026-07-22
58,002674,兴业科技,23.63,5.397,2,1,59852282.7,12608304.0,47243978.7,596474520,7.920535935047,9.0445,69.13,日振幅值达到15%的前5只证券,2026-07-27
59,300164,通源石油,12.2,16.4122,2,0,61109179.72,16309776.0,44799403.72,2705988226,1.655565360172,39.3974,71.15,日换手率达到30%的前5只证券,2026-07-20
60,003001,中岩大地,20.39,9.9784,4,4,157366652.0,112644440.12,44722211.88,1211441845,3.691651569127,31.197,23.32,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
61,002412,汉森制药,7.38,9.9851,5,4,94400223.6,50144243.83,44255979.77,484265253,9.13878902024,6.6939,36.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-23
62,000676,智度股份,6.92,0.0,3,1,114970390.49,70731975.32,44238415.17,1794707359,2.464937525784,21.2408,87.12,日振幅值达到15%的前5只证券,2026-07-22
63,688382,益方生物,26.04,15.4767,2,2,122290985.23,79279872.58,43011112.65,819106300,5.2509805687,5.6663,150.93,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-20
64,002083,孚日股份,11.52,10.0287,2,0,58176979.0,17560305.0,40616674.0,1680232098,2.417325204556,10.4484,109.05,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
65,300534,陇神戎发,13.8,14.6179,5,4,340767147.09,300267834.5,40499312.59,2750672704,1.472342112208,39.5352,41.68,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-21
66,603211,晋拓股份,26.89,-7.7846,1,0,37911079.0,0.0,37911079.0,1215317828,3.11943741189,6.4883,73.09,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-21
67,300688,创业黑马,26.08,4.2783,3,3,150245687.43,115149131.6,35096555.83,1390790691,2.523496602121,15.1069,38.7,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-23
68,603459,红板科技,92.5,10.0012,1,0,34277796.0,0.0,34277796.0,1702935814,2.01286482545,23.983,73.12,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-27
69,000596,古井贡酒,93.83,10.0,2,4,165772250.15,132248157.51,33524092.64,1044650864,3.209119313953,2.7871,383.39,日涨幅偏离值达到7%的前5只证券,2026-07-20
70,605288,凯迪股份,67.52,10.0033,2,0,31940873.8,0.0,31940873.8,115109049,27.748360426468,1.8617,66.36,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2026-07-23
71,300164,通源石油,11.13,-8.7705,2,2,112441790.0,80720700.0,31721090.0,2298408553,1.380132786166,36.0942,64.91,日换手率达到30%的前5只证券,2026-07-21
72,000506,招金黄金,13.02,9.9662,3,3,98315703.28,66881880.6,31433822.68,1089691284,2.884653951219,9.2881,120.92,日涨幅偏离值达到7%的前5只证券,2026-07-22
73,603619,中曼石油,23.47,9.9813,1,1,54419495.46,24174100.0,30245395.46,1375636850,2.198646791121,3.4961,108.51,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-07-23
74,301583,托伦斯,158.71,19.9985,1,1,62245345.87,32986668.0,29258677.87,2606820327,1.122389509049,53.9963,48.93,日涨幅达到15%的前5只证券,2026-07-22
75,301583,托伦斯,158.71,19.9985,1,1,62245345.87,32986668.0,29258677.87,2606820327,1.122389509049,53.9963,48.93,日换手率达到30%的前5只证券,2026-07-22
76,000815,美利云,16.6,2.5324,4,3,229530612.33,200884508.35,28646103.98,2372112993,1.207619707178,21.1871,115.41,日换手率达到20%的前5只证券,2026-07-27
77,300843,胜蓝股份,111.98,14.4405,4,4,191702462.0,163290119.18,28412342.82,1327028824,2.141049410996,8.3954,179.73,日振幅值达到30%的前5只证券,2026-07-21
78,300214,日科化学,14.23,19.9831,4,4,166084574.0,138056337.0,28028237.0,1031061504,2.718386526048,16.5188,66.16,日涨幅达到15%的前5只证券,2026-07-27
79,300040,九洲集团,6.83,18.1661,2,2,58294233.22,30713363.47,27580869.75,1373498100,2.008074838254,26.0613,35.34,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-20
80,000767,晋控电力,3.76,9.9415,2,4,77698959.3,50752612.64,26946346.66,1210434173,2.226172001838,11.3633,109.5,日涨幅偏离值达到7%的前5只证券,2026-07-20
81,000539,粤电力A,5.84,9.9812,2,2,64315863.8,37738180.0,26577683.8,954978207,2.783067048566,6.5979,149.23,日涨幅偏离值达到7%的前5只证券,2026-07-20
82,300643,万通智控,20.79,4.3151,2,1,86809321.95,60346772.9,26462549.05,1204255497,2.197419826268,7.9545,48.04,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-23
83,002197,证通电子,6.97,9.9369,2,2,57443042.4,31087499.0,26355543.4,837505432,3.146910144459,3.6561,37.22,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
84,002173,创新医疗,18.71,5.0533,2,1,80402128.52,54917278.46,25484850.06,3625533533,0.702926888637,17.4421,78.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-20
85,301273,瑞晨环保,38.87,9.4313,5,4,118657199.67,93483573.32,25173626.35,583340842,4.315423254729,9.5336,29.92,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
86,603400,华之杰,38.95,-2.381,1,0,25128270.9,0.0,25128270.9,318884256,7.880060061667,23.7188,14.11,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-27
87,001206,依依股份,19.33,-0.3608,3,2,38186665.0,13454220.0,24732445.0,368474722,6.712114433728,18.8932,20.66,日振幅值达到15%的前5只证券,2026-07-23
88,002515,金字火腿,8.18,9.9462,2,2,90889940.75,66538334.0,24351606.75,932897607,2.610319349871,10.6552,90.13,日涨幅偏离值达到7%的前5只证券,2026-07-22
89,300040,九洲集团,6.83,18.1661,2,2,41556659.0,17748131.87,23808527.13,850241679,2.800207013846,26.0613,35.34,日涨幅达到15%的前5只证券,2026-07-20
90,001314,亿道信息,49.74,-10.0054,3,2,32572856.5,11137762.0,21435094.5,333779480,6.421932978025,1.9401,61.73,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
91,301205,联特科技,213.6,20.0,2,3,194314314.35,173761902.87,20552411.48,2179277879,0.943083563507,14.2397,178.88,日振幅值达到30%的前5只证券,2026-07-21
92,301205,联特科技,213.6,20.0,2,3,194314314.35,173761902.87,20552411.48,2179277879,0.943083563507,14.2397,178.88,日涨幅达到15%的前5只证券,2026-07-21
93,003001,中岩大地,20.39,9.9784,3,1,74639875.11,54121804.0,20518071.11,709006333,2.893919300154,31.197,23.32,日换手率达到20%的前5只证券,2026-07-24
94,003001,中岩大地,20.39,9.9784,3,1,74639875.11,54121804.0,20518071.11,709006333,2.893919300154,31.197,23.32,日涨幅偏离值达到7%的前5只证券,2026-07-24
95,003001,中岩大地,18.54,10.0297,1,3,57639515.85,37497747.12,20141768.73,502435512,4.008826655151,24.4335,21.2,日换手率达到20%的前5只证券,2026-07-23
96,000603,盛达资源,22.57,9.9903,2,3,92520104.65,72444793.0,20075311.65,920227108,2.18156055994,6.2746,150.48,日涨幅偏离值达到7%的前5只证券,2026-07-22
97,920438,戈碧迦,126.61,25.3564,2,1,50986093.42,32948989.04,18037104.38,951046700,1.896552964224,6.1156,176.49,当日收盘价涨幅达到20%的前5只股票,2026-07-21
98,688328,深科达,78.94,20.0061,1,0,17915846.64,0.0,17915846.64,843611900,2.123707197587,12.9913,74.56,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-21
99,002440,闰土股份,11.85,-10.0228,2,0,22638065.59,4740972.0,17897093.59,804546987,2.224493271267,6.8693,112.14,日跌幅偏离值达到7%的前5只证券,2026-07-24
100,603619,中曼石油,20.43,-10.0,1,0,17515032.0,0.0,17515032.0,817811648,2.141695100924,8.6491,94.46,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-07-27
101,003013,地铁设计,17.43,6.4753,4,2,57267910.85,39806004.83,17461906.02,519544652,3.361001976015,2.9029,70.15,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-27
102,001257,盛龙股份,25.56,3.818,2,1,41841872.04,24549513.66,17292358.38,821007099,2.106237376152,23.3551,35.0,日换手率达到20%的前5只证券,2026-07-22
103,002197,证通电子,6.9,-10.0391,4,3,52862904.89,36404918.0,16457986.89,733191197,2.244706013567,19.4405,36.85,日跌幅偏离值达到7%的前5只证券,2026-07-24
104,001337,四川黄金,40.26,10.0,3,4,230696293.43,214242608.18,16453685.25,2159842731,0.761800153958,4.7589,169.09,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-23
105,301520,万邦医药,61.03,13.8832,1,0,18439184.26,2477539.26,15961645.0,952432843,1.67588141435,50.0689,19.96,日换手率达到30%的前5只证券,2026-07-27
106,600236,桂冠电力,11.68,9.9812,1,0,15830181.14,0.0,15830181.14,1236664561,1.280070735366,0.9425,920.66,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-07-20
107,000533,顺钠股份,9.55,10.023,1,3,35627365.52,19798063.0,15829302.52,322942289,4.901588630283,1.2093,65.41,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
108,002218,拓日新能,4.24,0.9524,3,2,45067535.03,29533508.44,15534026.59,954319178,1.627760077352,16.5956,58.84,日振幅值达到15%的前5只证券,2026-07-27
109,000539,粤电力A,6.46,6.7769,4,4,232765166.24,217596093.4,15169072.84,3815132081,0.397602822601,9.2757,165.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
110,000779,甘咨询,9.99,6.2766,3,1,103781040.2,88797708.0,14983332.2,1121071774,1.336518548365,24.0815,46.43,日换手率达到20%的前5只证券,2026-07-24
111,001288,运机集团,25.6,2.9353,2,2,52407541.26,37474727.44,14932813.82,636953013,2.344413718944,5.6874,38.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
112,605288,凯迪股份,69.24,2.5474,2,0,14752202.4,0.0,14752202.4,125432352,11.761082499673,1.8983,68.05,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2026-07-24
113,000722,湖南发展,15.21,9.9783,1,0,15565807.0,1198055.05,14367751.95,1100838182,1.305164753997,16.2349,70.6,日涨幅偏离值达到7%的前5只证券,2026-07-20
114,002208,合肥城建,13.6,10.0324,2,1,53706008.0,40277004.0,13429004.0,907429592,1.479894872108,8.6094,109.22,日涨幅偏离值达到7%的前5只证券,2026-07-24
115,688679,通源环境,40.82,19.9882,1,1,23749289.11,10391946.45,13357342.66,268122100,4.981813382783,5.5143,53.76,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-23
116,603580,艾艾精工,47.91,3.4773,1,0,13271390.0,0.0,13271390.0,679149481,1.954119140378,11.6948,62.61,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2026-07-27
117,002036,联创电子,7.23,0.2774,1,0,26158111.37,13013033.4,13145077.97,1451453859,0.905649042062,11.7112,76.31,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
118,002879,长缆科技,19.86,10.0277,2,1,41003562.2,28083230.45,12920331.75,1331835023,0.970115031282,37.5351,27.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-27
119,300510,金冠股份,3.66,20.0,4,2,28810506.0,16022941.98,12787564.02,343554870,3.722131495327,11.9428,30.18,日涨幅达到15%的前5只证券,2026-07-23
120,300795,米奥会展,14.34,7.7385,4,3,60065403.04,47334558.1,12730844.94,728796054,1.746832309276,30.4536,24.95,日换手率达到30%的前5只证券,2026-07-22
121,300795,米奥会展,14.34,7.7385,4,4,112316333.66,100103021.38,12213312.28,1829618058,0.667533435549,30.4536,24.95,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
122,300164,通源石油,11.94,-4.4035,1,0,28082560.0,15904839.0,12177721.0,2622237828,0.464401850586,35.9541,69.64,日换手率达到30%的前5只证券,2026-07-24
123,688171,纬德信息,28.2,20.0,1,0,12142503.4,0.0,12142503.4,117538900,10.330625350416,3.8088,32.95,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-27
124,301234,五洲医疗,70.5,20.0,1,2,56506420.4,44777981.0,11728439.4,729659044,1.607386284929,26.5096,28.32,日涨幅达到15%的前5只证券,2026-07-27
125,002879,长缆科技,19.86,10.0277,2,2,36228854.2,24729817.45,11499036.75,962946805,1.194150776584,37.5351,27.24,日换手率达到20%的前5只证券,2026-07-27
126,002879,长缆科技,19.86,10.0277,2,2,36228854.2,24729817.45,11499036.75,962946805,1.194150776584,37.5351,27.24,日振幅值达到15%的前5只证券,2026-07-27
127,688371,菲沃泰,22.86,-16.3862,1,0,11283590.1,0.0,11283590.1,412491000,2.735475464919,4.8407,76.69,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-20
128,301234,五洲医疗,70.5,20.0,1,2,56506420.4,45324356.0,11182064.4,781028869,1.431709485248,26.5096,28.32,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-27
129,300480,光力科技,31.66,20.0152,2,3,72761453.75,61817751.0,10943702.75,1024086298,1.068630912392,12.7993,85.53,日涨幅达到15%的前5只证券,2026-07-24
130,003001,中岩大地,18.72,6.3636,4,3,47581673.46,36708278.46,10873395.0,467709982,2.324815680329,24.1746,21.41,日换手率达到20%的前5只证券,2026-07-21
131,688260,昀冢科技,75.81,16.3801,1,0,10613702.19,0.0,10613702.19,581514400,1.8251830376,7.5984,90.97,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-21
132,001229,魅视科技,39.18,9.9944,4,4,56539278.57,46337543.8,10201734.77,314287587,3.24598717607,11.4186,28.9,日振幅值达到15%的前5只证券,2026-07-24
133,300045,华力创通,11.46,-20.0279,3,2,31940875.69,21909858.91,10031016.78,576230586,1.740799086982,9.5402,59.17,日跌幅达到15%的前5只证券,2026-07-24
134,920088,科力股份,49.62,-9.7818,1,1,27068054.02,17336164.2,9731889.82,462857100,2.102568982954,28.8258,16.16,当日换手率达到20%的前5只股票,2026-07-21
135,002388,新亚制程,4.8,10.0917,4,4,95110699.0,85553939.0,9556760.0,534425431,1.788230770029,13.2838,24.29,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-27
136,920088,科力股份,55.0,23.5677,1,1,18035799.0,9144572.63,8891226.37,548067000,1.622288218411,32.4794,17.91,当日换手率达到20%的前5只股票,2026-07-20
137,920088,科力股份,55.0,23.5677,1,1,18035799.0,9144572.63,8891226.37,548067000,1.622288218411,32.4794,17.91,当日收盘价涨幅达到20%的前5只股票,2026-07-20
138,301122,采纳股份,33.2,15.8409,5,4,132735051.54,123916744.96,8818306.58,725816029,1.214950652461,15.0971,25.11,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-27
139,688146,中船特气,200.8,-20.0,1,1,52596475.47,43862394.75,8734080.72,3999548200,0.218376683646,12.4279,291.1,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2026-07-20
140,002082,ST万邦,8.94,-6.3874,3,1,55564461.25,48215177.88,7349283.37,564249877,1.302487367667,4.2279,50.77,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-23
141,920211,新睿电子,126.0,-17.5932,1,0,9078222.84,1783072.27,7295150.57,178914400,4.07745299987,22.7488,7.26,当日换手率达到20%的前5只股票,2026-07-20
142,301583,托伦斯,110.22,-18.9559,3,3,114264770.15,107265806.86,6998963.29,1797158389,0.389446101848,46.3909,33.98,日振幅值达到30%的前5只证券,2026-07-20
143,301583,托伦斯,110.22,-18.9559,3,3,114264770.15,107265806.86,6998963.29,1797158389,0.389446101848,46.3909,33.98,日换手率达到30%的前5只证券,2026-07-20
144,002788,鹭燕医药,9.39,-5.7229,3,2,50114878.23,43594002.74,6520875.49,1147996272,0.568022357654,11.1056,35.85,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
145,000779,甘咨询,9.4,5.3812,2,3,92726927.63,86390311.72,6336615.91,947195582,0.66898706354,22.8727,43.69,日振幅值达到15%的前5只证券,2026-07-23
146,000779,甘咨询,9.4,5.3812,2,3,92726927.63,86390311.72,6336615.91,947195582,0.66898706354,22.8727,43.69,日换手率达到20%的前5只证券,2026-07-23
147,688549,中巨芯,21.28,-17.037,1,1,55533692.23,49220588.85,6313103.38,3015542800,0.209352139854,21.7494,125.41,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-20
148,920222,益坤电气,28.6,30.0,1,0,6057480.0,0.0,6057480.0,150928400,4.013479239162,48.3115,3.31,当日收盘价涨幅达到20%的前5只股票,2026-07-23
149,920222,益坤电气,28.6,30.0,1,0,6057480.0,0.0,6057480.0,150928400,4.013479239162,48.3115,3.31,当日换手率达到20%的前5只股票,2026-07-23
150,920222,益坤电气,28.6,30.0,1,0,6057480.0,0.0,6057480.0,150928400,4.013479239162,48.3115,3.31,当日价格振幅达到30%的前5只股票,2026-07-23
151,002440,闰土股份,11.78,9.9907,2,2,42017220.0,36012490.0,6004730.0,1142729598,0.525472518653,10.6016,111.48,日涨幅偏离值达到7%的前5只证券,2026-07-20
152,002298,中电鑫龙,8.1,10.0543,1,1,15469687.0,9734926.6,5734760.4,652537820,0.878839543737,8.3121,53.52,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
153,000037,深南电A,10.12,10.0,3,3,60234575.0,55009343.11,5225231.89,1073356495,0.486812341877,22.6127,34.3,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-20
154,301536,星宸科技,137.0,12.1296,4,4,1014637049.02,1009526651.3,5110397.72,12159579133,0.042027751652,20.1873,256.45,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
155,920117,龙鑫智能,25.03,-8.9156,1,0,5499430.08,625072.0,4874358.08,212030900,2.298890435309,40.2642,5.06,当日换手率达到20%的前5只股票,2026-07-20
156,603398,*ST沐邦,8.24,-9.9454,1,0,4498441.0,0.0,4498441.0,159439472,2.821409870198,4.2292,35.73,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-07-22
157,002632,道明光学,8.58,-9.9685,1,0,4427279.0,0.0,4427279.0,219960915,2.012757130056,1.9885,49.29,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
158,000037,深南电A,10.12,10.0,2,2,40973934.0,37072089.11,3901844.89,746615016,0.522604663231,22.6127,34.3,日换手率达到20%的前5只证券,2026-07-20
159,000603,盛达资源,24.83,10.0133,3,3,116528148.72,113161688.63,3366460.09,1656097547,0.203276678726,10.3748,165.55,日涨幅偏离值达到7%的前5只证券,2026-07-23
160,301228,实朴检测,61.36,1.2374,4,4,191021715.0,188379814.14,2641900.86,1107789124,0.238484094379,3.8796,73.29,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
161,605376,博迁新材,147.93,10.0015,1,1,104458008.44,102100942.9,2357065.54,2711664334,0.086923204707,7.6481,386.98,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2026-07-21
162,002723,小崧股份,6.48,-10.0,2,2,22089354.0,19748938.0,2340416.0,195757714,1.195567700591,5.5908,20.54,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
163,920367,新赣江,25.28,-18.4516,1,1,5732739.83,3701100.46,2031639.37,249177900,0.815336901868,21.0744,10.62,当日价格振幅达到30%的前5只股票,2026-07-20
164,001369,双欣材料,13.22,2.0849,2,3,24449937.28,22613460.68,1836476.6,743997911,0.246838945762,14.6124,27.43,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-20
165,002816,*ST和科,21.0,-3.5813,2,2,24768858.0,23231573.44,1537284.56,257631541,0.596698895653,3.0462,21.0,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-22
166,688359,三孚新科,105.82,-20.003,1,1,34126794.38,32691811.16,1434983.22,1055346700,0.135972682721,8.9718,105.48,有价格涨跌幅限制的日价格振幅达到30%的前五只证券,2026-07-20
167,688636,智明达,20.38,-20.0157,1,0,1427965.46,0.0,1427965.46,42548600,3.356080952135,1.2005,35.44,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2026-07-21
168,688636,智明达,20.38,-20.0157,1,0,1427965.46,0.0,1427965.46,42548600,3.356080952135,1.2005,35.44,有价格涨跌幅限制的连续3个交易日内收盘价格跌幅偏离值累计达到30%的证券,2026-07-21
169,920046,亿能电力,23.6,16.2562,1,1,7856749.6,6498770.22,1357979.38,285145700,0.476240525458,22.8799,13.2,当日换手率达到20%的前5只股票,2026-07-20
170,920367,新赣江,28.17,11.432,1,1,6260764.82,5349368.47,911396.35,251737100,0.362042920968,23.2779,11.83,当日换手率达到20%的前5只股票,2026-07-21
171,000889,中嘉博创,3.99,5.0,2,3,61209780.28,60364003.05,845777.23,1164238121,0.072646412683,21.9882,34.71,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
172,002759,ST天际,11.65,-9.9691,1,1,2017909.0,1494570.0,523339.0,63010113,0.83056350018,0.6948,58.36,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-21
173,000975,山金国际,22.52,10.0147,3,4,415029235.9,414516732.19,512503.71,4671029199,0.010971965453,3.7072,568.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
174,002083,孚日股份,12.0,4.1667,1,2,74010978.98,73556750.12,454228.86,2710713277,0.016756802125,23.6624,113.6,日换手率达到20%的前5只证券,2026-07-27
175,001206,依依股份,19.4,-10.0186,1,0,450080.0,0.0,450080.0,28126120,1.600220720099,1.3567,20.73,日跌幅偏离值达到7%的前5只证券,2026-07-22
176,002083,孚日股份,11.52,10.0287,0,1,12506112.0,12121344.0,384768.0,1132767037,0.033967090093,10.4484,109.05,日涨幅偏离值达到7%的前5只证券,2026-07-24
177,001388,信通电子,23.82,10.0231,2,1,10649121.55,10441334.44,207787.11,408115711,0.050913773815,14.9784,29.8,日振幅值达到15%的前5只证券,2026-07-23
178,123213,天源转债,255.5,-16.2295,1,1,37700270.43,37579406.32,120864.11,1300313378,0.009294998578,,,日跌幅达到15%的前5只可转债,2026-07-27
179,300062,中能电气,6.8,7.0866,2,2,35419983.66,35370537.34,49446.32,1124097216,0.004398758337,25.3841,31.17,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-24
180,002723,小崧股份,6.48,-10.0,2,2,15281190.0,15499033.0,-217843.0,115838666,-0.188057241612,5.5908,20.54,日跌幅偏离值达到7%的前5只证券,2026-07-21
181,920072,科莱瑞迪,29.05,5.6364,1,1,2405244.43,2752839.05,-347594.62,111980700,-0.310405828862,26.6236,4.2,当日换手率达到20%的前5只股票,2026-07-22
182,920072,科莱瑞迪,27.66,4.6142,1,1,2668820.99,3033177.53,-364356.54,90166100,-0.404094820559,23.1068,4.0,当日换手率达到20%的前5只股票,2026-07-20
183,000595,新能股份,5.52,9.9602,1,1,5523649.0,6023526.0,-499877.0,100497999,-0.497399953207,0.4336,62.85,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-23
184,301535,浙江华远,16.41,14.3554,3,3,45916821.83,46464303.54,-547481.71,463517853,-0.118114481774,8.4074,27.86,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-24
185,920222,益坤电气,31.6,10.4895,0,1,6057480.0,6616917.18,-559437.18,404520900,-0.138296236363,70.5218,3.65,北交所股票连续3个交易日内日收盘价涨跌幅偏离值累计达到+40%(-40%),2026-07-24
186,920211,新睿电子,120.08,-4.6984,1,1,6677869.63,7508134.22,-830264.59,174323500,-0.476278063485,26.1271,6.92,当日换手率达到20%的前5只股票,2026-07-21
187,000779,甘咨询,8.92,-9.9899,0,1,0.0,959792.0,-959792.0,21229600,-4.521008403361,0.5121,41.46,日跌幅偏离值达到7%的前5只证券,2026-07-22
188,000668,荣丰控股,17.67,10.0249,4,5,46305588.0,47266810.91,-961222.91,176442201,-0.544780616288,4.5736,25.95,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
189,001872,招商港口,21.42,-6.5853,3,2,12083538.0,13121829.0,-1038291.0,138187733,-0.75136264085,0.281,493.14,日跌幅偏离值达到7%的前5只证券,2026-07-23
190,002731,*ST萃华,2.28,-9.8814,0,1,1158489.0,2266395.77,-1107906.77,143068804,-0.774387384968,25.7657,5.24,日换手率达到20%的前5只证券,2026-07-20
191,301609,山大电力,37.46,6.7236,1,3,13414922.79,14710957.37,-1296034.58,504253806,-0.257020287121,21.7012,13.73,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-20
192,920117,龙鑫智能,25.99,4.3775,0,1,1529361.53,2856315.63,-1326954.1,162233600,-0.817928037102,30.6984,5.25,当日换手率达到20%的前5只股票,2026-07-23
193,920117,龙鑫智能,28.52,13.9433,1,1,4307199.36,5690012.61,-1382813.25,226353300,-0.610909251157,41.6378,5.77,当日换手率达到20%的前5只股票,2026-07-21
194,920079,乔路铭,15.22,-3.7318,0,1,3053554.07,4644868.78,-1591314.71,297781700,-0.534389692181,41.9766,6.85,当日换手率达到20%的前5只股票,2026-07-24
195,001388,信通电子,21.65,-9.9792,0,1,15155.0,1911300.24,-1896145.24,133196841,-1.423566224067,2.0713,27.09,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-07-22
196,300414,中光防雷,12.15,7.8083,2,2,32338237.2,34337172.9,-1998935.7,686023572,-0.291380031472,13.4448,38.1,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-27
197,920305,云创退,1.63,25.3846,1,1,441762.59,2593946.79,-2152184.2,175493600,-1.226360505454,27.7416,1.32,北交所股票连续10个交易日内3次出现同向异常波动情形,2026-07-23
